Ticker,$VolumePctl,SharpePctl,$VolxSharpe,Parkinson,ParkinsonPctl
FSM,0.866,0.845,0.732,0.48,0.33
NB,0.787,0.929,0.731,1.36,0.79
ORA,0.818,0.894,0.731,0.27,0.66
RBC,0.784,0.933,0.731,0.33,0.9
DTCK,0.793,0.92,0.73,2.83,1.0
PM,0.976,0.748,0.73,0.27,0.86
TRV,0.953,0.766,0.73,0.21,0.56
GENI,0.83,0.877,0.728,0.47,0.37
GM,0.949,0.766,0.727,0.28,0.29
CALX,0.769,0.945,0.727,0.4,0.58
PODD,0.887,0.817,0.725,0.28,0.25
VSAT,0.777,0.933,0.725,0.69,0.13
SMR,0.964,0.752,0.725,1.15,0.51
CVI,0.752,0.963,0.724,0.58,0.88
CBOE,0.889,0.812,0.722,0.28,0.7
BETR,0.77,0.938,0.722,1.68,0.92
UEC,0.859,0.84,0.722,0.9,0.91
NVS,0.877,0.823,0.722,0.15,0.67
UNM,0.917,0.786,0.721,0.25,0.72
RNA,0.961,0.75,0.721,0.33,0.0
FIVE,0.87,0.828,0.72,0.4,0.28
FCFS,0.754,0.955,0.72,0.37,0.9
TWLO,0.92,0.783,0.72,0.46,0.7
HIG,0.905,0.796,0.72,0.2,0.58
OSIS,0.745,0.967,0.72,0.46,0.86
CRH,0.931,0.773,0.72,0.23,0.38
NTRS,0.85,0.846,0.719,0.27,0.68
AHR,0.726,0.99,0.719,0.27,0.27
UGI,0.749,0.959,0.718,0.22,0.48
SPXL,0.97,0.74,0.718,0.3,0.4
BTDR,0.853,0.84,0.717,0.99,0.43
AMAT,0.989,0.725,0.717,0.35,0.74
EME,0.901,0.796,0.717,0.41,0.81
K,0.872,0.821,0.716,0.03,0.07
NUVB,0.835,0.857,0.716,1.04,0.9
FIGR,0.771,0.929,0.716,0.86,0.03
ATRO,0.741,0.966,0.716,0.43,0.31
DTE,0.925,0.774,0.716,0.17,0.4
EMR,0.949,0.755,0.716,0.26,0.66
MDGL,0.96,0.745,0.715,0.62,0.73
FOX,0.781,0.916,0.715,0.31,0.88
IMAX,0.825,0.867,0.715,0.4,0.83
MKL,0.822,0.869,0.714,0.21,0.45
EXPE,0.927,0.77,0.714,0.4,0.76
INOD,0.822,0.867,0.713,0.84,0.26
FWONK,0.869,0.82,0.713,0.37,0.79
DK,0.745,0.957,0.713,0.6,0.56
EL,0.884,0.807,0.713,0.41,0.65
REZI,0.748,0.95,0.711,0.34,0.43
DIS,0.967,0.735,0.711,0.2,0.4
RYAAY,0.792,0.898,0.711,0.19,0.2
PAAS,0.857,0.83,0.711,0.42,0.69
BELFB,0.742,0.957,0.71,0.61,0.92
DG,0.906,0.784,0.71,0.27,0.16
DINO,0.835,0.849,0.709,0.42,0.76
CAR,0.885,0.801,0.709,0.54,0.47
DDOG,0.964,0.735,0.709,0.37,0.47
RCL,0.98,0.723,0.709,0.38,0.76
AXSM,0.823,0.86,0.708,0.46,0.68
SSNC,0.865,0.818,0.708,0.25,0.84
AGI,0.818,0.864,0.707,0.44,0.86
ATEC,0.747,0.946,0.707,0.49,0.44
ESLT,0.718,0.984,0.707,0.26,0.41
AFRM,0.934,0.756,0.706,0.55,0.21
ENSG,0.892,0.791,0.706,0.31,0.79
LOGI,0.817,0.864,0.706,0.21,0.68
PARR,0.725,0.971,0.704,0.59,0.69
MYRG,0.794,0.886,0.703,0.58,0.84
BWA,0.824,0.853,0.703,0.31,0.68
CRK,0.828,0.849,0.703,0.66,0.89
CCEP,0.902,0.779,0.703,0.21,0.73
LVS,0.949,0.74,0.702,0.35,0.79
PANW,0.988,0.711,0.702,0.24,0.04
FERG,0.914,0.767,0.701,0.24,0.46
L,0.761,0.921,0.701,0.17,0.44
BAP,0.723,0.97,0.701,0.23,0.09
BKR,0.953,0.735,0.7,0.36,0.84
DGX,0.87,0.805,0.7,0.25,0.7
DAN,0.713,0.982,0.7,0.39,0.44
NSC,0.945,0.741,0.7,0.16,0.01
CORZ,0.919,0.761,0.699,0.75,0.53
HCI,0.717,0.974,0.698,0.38,0.52
BB,0.767,0.91,0.698,0.5,0.46
LGND,0.746,0.936,0.698,0.36,0.23
SYF,0.897,0.778,0.698,0.28,0.42
PTCT,0.814,0.857,0.698,0.39,0.16
WCC,0.873,0.799,0.698,0.48,0.89
PH,0.94,0.743,0.698,0.24,0.62
LYFT,0.931,0.749,0.697,0.43,0.19
TRMB,0.866,0.805,0.697,0.25,0.5
TVTX,0.8,0.871,0.697,0.58,0.43
TIGO,0.705,0.986,0.695,0.34,0.73
